종목명,종목코드
나노팀,417010
일진파워,094820
오름테라퓨틱,475830
미래에셋벤처투자,100790
LB인베스트먼트,309960
삼화페인트,000390
드림씨아이에스,223250
에스피지,058610
지놈앤컴퍼니,314130
현대오토에버,307950
이엔셀,456070
성호전자,043260
JW신약,067290
한화시스템,272210
알리코제약,260660
HD현대에너지솔루션,322000
에이프릴바이오,397030
저스템,417840
나우IB,293580
디어유,376300
듀켐바이오,176750
모비스,250060
링크솔루션,474650
LK삼양,225190
에스투더블유,488280
에이팩트,200470
비츠로넥스텍,488900
LIG넥스원,079550
OCI홀딩스,010060
알루코,001780
키움증권,039490
한국카본,017960
에스비비테크,389500
스피어,347700
켐트로스,220260
HD현대마린엔진,071970
로보티즈,108490
일동제약,249420
현대모비스,012330
삼성물산,028260
삼현,437730
이뮨온시아,424870
